Nadir angle (deg),GPS 2,GPS 3,GPS 4,GPS 5,GPS 6,GPS 7,GPS 8
0,12.7,12.7,11.65,11.65,13.56,13.56,12.6
0.1,12.7,12.7,11.66,11.66,13.56,13.56,12.6
0.2,12.7,12.7,11.66,11.66,13.56,13.56,12.61
0.3,12.7,12.7,11.66,11.66,13.56,13.56,12.61
0.4,12.71,12.71,11.66,11.66,13.56,13.56,12.62
0.5,12.72,12.72,11.67,11.67,13.56,13.56,12.63
0.6,12.73,12.73,11.68,11.68,13.55,13.55,12.64
0.7,12.74,12.74,11.69,11.69,13.54,13.54,12.65
0.8,12.75,12.75,11.7,11.7,13.53,13.53,12.67
0.9,12.77,12.77,11.71,11.71,13.53,13.53,12.68
1,12.78,12.78,11.73,11.73,13.52,13.52,12.7
1.1,12.8,12.8,11.74,11.74,13.51,13.51,12.72
1.2,12.81,12.81,11.76,11.76,13.5,13.5,12.73
1.3,12.83,12.83,11.77,11.77,13.48,13.48,12.75
1.4,12.85,12.85,11.79,11.79,13.47,13.47,12.77
1.5,12.87,12.87,11.82,11.82,13.46,13.46,12.79
1.6,12.88,12.88,11.84,11.84,13.45,13.45,12.81
1.7,12.91,12.91,11.87,11.87,13.43,13.43,12.84
1.8,12.95,12.95,11.89,11.89,13.42,13.42,12.86
1.9,12.98,12.98,11.92,11.92,13.4,13.4,12.89
2,13.01,13.01,11.94,11.94,13.39,13.39,12.91
2.1,13.04,13.04,11.97,11.97,13.38,13.38,12.94
2.2,13.07,13.07,12,12,13.36,13.36,12.96
2.3,13.1,13.1,12.03,12.03,13.35,13.35,12.98
2.4,13.12,13.12,12.07,12.07,13.33,13.33,13.01
2.5,13.15,13.15,12.1,12.1,13.32,13.32,13.04
2.6,13.19,13.19,12.13,12.13,13.31,13.31,13.07
2.7,13.22,13.22,12.17,12.17,13.29,13.29,13.1
2.8,13.26,13.26,12.21,12.21,13.28,13.28,13.13
2.9,13.29,13.29,12.25,12.25,13.26,13.26,13.16
3,13.32,13.32,12.29,12.29,13.25,13.25,13.19
3.1,13.35,13.35,12.33,12.33,13.23,13.23,13.22
3.2,13.39,13.39,12.37,12.37,13.22,13.22,13.25
3.3,13.41,13.41,12.41,12.41,13.21,13.21,13.28
3.4,13.44,13.44,12.45,12.45,13.2,13.2,13.31
3.5,13.47,13.47,12.5,12.5,13.19,13.19,13.35
3.6,13.5,13.5,12.54,12.54,13.18,13.18,13.38
3.7,13.52,13.52,12.58,12.58,13.17,13.17,13.41
3.8,13.55,13.55,12.63,12.63,13.16,13.16,13.44
3.9,13.57,13.57,12.68,12.68,13.15,13.15,13.47
4,13.6,13.6,12.73,12.73,13.16,13.16,13.51
4.1,13.63,13.63,12.78,12.78,13.16,13.16,13.54
4.2,13.65,13.65,12.83,12.83,13.16,13.16,13.58
4.3,13.67,13.67,12.88,12.88,13.16,13.16,13.61
4.4,13.69,13.69,12.93,12.93,13.16,13.16,13.64
4.5,13.72,13.72,12.98,12.98,13.17,13.17,13.67
4.6,13.74,13.74,13.03,13.03,13.17,13.17,13.7
4.7,13.76,13.76,13.09,13.09,13.18,13.18,13.73
4.8,13.78,13.78,13.14,13.14,13.19,13.19,13.76
4.9,13.8,13.8,13.2,13.2,13.2,13.2,13.79
5,13.83,13.83,13.25,13.25,13.21,13.21,13.82
